ind ancestry ancestry_all
TGG_1812 NA afr
TGG_1813 afr afr
TGG_1814 afr afr
TGG_1815 NA amr
TGG_1816 afr afr
TGG_1817 afr afr
TGG_1818 afr afr
TGG_1819 afr afr
TGG_182 eas eas
TGG_1820 afr afr
TGG_1821 afr afr
TGG_1822 afr afr
TGG_1823 NA afr
TGG_1824 NA afr
TGG_1825 NA afr
TGG_1826 afr afr
TGG_1827 afr afr
TGG_1828 afr afr
TGG_1829 afr afr
TGG_183 NA eas
TGG_1830 afr afr
TGG_1831 afr afr
TGG_1832 nfe nfe
TGG_1833 nfe nfe
TGG_1834 nfe nfe
TGG_1835 nfe nfe
TGG_1836 NA nfe
TGG_1837 nfe nfe
TGG_1838 nfe nfe
TGG_1839 nfe nfe
TGG_184 NA eas
TGG_1840 NA nfe
TGG_1841 nfe nfe
TGG_1842 nfe nfe
TGG_1843 nfe nfe
TGG_1844 nfe nfe
TGG_1845 NA nfe
TGG_1846 nfe nfe
TGG_1847 NA nfe
TGG_1848 nfe nfe
TGG_1849 NA nfe
TGG_185 NA eas
TGG_1850 NA nfe
TGG_1851 NA nfe
TGG_1852 nfe nfe
TGG_1853 nfe nfe
TGG_1854 nfe nfe
TGG_1855 nfe nfe
TGG_1856 NA nfe
TGG_1857 nfe nfe
TGG_1858 NA nfe
TGG_1859 NA nfe
TGG_186 NA eas
TGG_1860 NA nfe
TGG_1861 nfe nfe
TGG_1862 nfe nfe
TGG_1863 NA nfe
TGG_1864 nfe nfe
TGG_1865 nfe nfe
TGG_1866 nfe nfe
TGG_1867 nfe nfe
TGG_1868 nfe nfe
TGG_1869 nfe nfe
TGG_187 eas eas
TGG_1870 nfe nfe
TGG_1871 nfe nfe
TGG_1872 nfe nfe
TGG_1873 nfe nfe
TGG_1874 nfe nfe
TGG_1875 NA nfe
TGG_1876 NA nfe
TGG_1877 NA nfe
TGG_1878 nfe nfe
TGG_1879 nfe nfe
TGG_188 eas eas
TGG_1880 NA nfe
TGG_1881 NA nfe
TGG_1882 nfe nfe
TGG_1883 NA nfe
TGG_1884 nfe nfe
TGG_1885 NA nfe
TGG_1886 NA nfe
TGG_1887 nfe nfe
TGG_1888 nfe nfe
TGG_1889 nfe nfe
TGG_189 NA eas
TGG_1890 NA nfe
TGG_1891 nfe nfe
TGG_1892 nfe nfe
TGG_1893 NA nfe
TGG_1894 nfe nfe
TGG_1895 nfe nfe
TGG_1896 nfe nfe
TGG_1897 nfe nfe
TGG_1898 nfe nfe
TGG_1899 nfe nfe
TGG_19 NA nfe
TGG_190 eas eas
TGG_1900 NA nfe
TGG_1901 NA nfe
TGG_1902 NA nfe
TGG_1903 nfe nfe
TGG_1904 nfe nfe
TGG_1905 nfe nfe
TGG_1906 nfe nfe
TGG_1907 NA nfe
TGG_1908 nfe nfe
TGG_1909 nfe nfe
TGG_191 NA eas
TGG_1910 nfe nfe
TGG_1911 nfe nfe
TGG_1912 nfe nfe
TGG_1913 NA nfe
TGG_1914 NA amr
TGG_1915 NA amr
TGG_1916 sas sas
TGG_1917 sas sas
TGG_1918 sas sas
TGG_1919 NA sas
TGG_192 eas eas
TGG_1920 sas sas
TGG_1921 sas sas
TGG_1922 NA amr
TGG_1923 sas sas
TGG_1924 NA amr
TGG_1925 sas sas
TGG_1926 NA sas
TGG_1927 sas sas
TGG_1928 sas sas
TGG_1929 sas sas
TGG_193 NA eas
TGG_1930 sas sas
TGG_1931 sas sas
TGG_1932 NA amr
TGG_1933 sas sas
TGG_1934 NA amr
TGG_1935 sas sas
TGG_1936 NA sas
TGG_1937 NA sas
TGG_1938 sas sas
TGG_1939 NA sas
TGG_194 NA eas
TGG_1940 NA sas
TGG_1941 sas sas
TGG_1942 NA sas
TGG_1943 NA sas
TGG_1944 sas sas
TGG_1945 NA sas
TGG_1946 NA sas
TGG_1947 sas sas
TGG_1948 sas sas
TGG_1949 sas sas
TGG_195 NA eas
TGG_1950 sas sas
TGG_1951 sas sas
TGG_1952 sas sas
TGG_1953 NA sas
TGG_1954 sas sas
TGG_1955 NA sas
TGG_1956 sas sas
TGG_1957 NA sas
TGG_1958 NA sas
TGG_1959 NA sas
TGG_196 NA eas
TGG_1960 sas sas
TGG_1961 NA sas
TGG_1962 NA sas
TGG_1963 NA amr
TGG_1964 sas sas
TGG_1965 NA amr
TGG_1966 NA amr
TGG_197 NA eas
TGG_198 NA eas
TGG_199 eas eas
TGG_2 NA amr
TGG_20 nfe nfe
TGG_200 eas eas
TGG_201 eas eas
TGG_202 eas eas
TGG_203 NA eas
TGG_204 eas eas
TGG_205 NA eas
TGG_206 NA amr
TGG_207 NA eas
TGG_208 NA eas
TGG_209 NA eas
TGG_21 NA nfe
TGG_210 NA eas
TGG_211 NA eas
TGG_212 NA eas
TGG_213 NA eas
TGG_214 NA eas
TGG_215 NA eas
TGG_216 NA eas
TGG_217 NA eas
TGG_218 eas eas
TGG_219 eas eas
TGG_22 NA nfe
TGG_220 NA eas
TGG_221 eas eas
TGG_222 NA eas
TGG_223 NA eas
TGG_224 eas eas
TGG_225 eas eas
TGG_226 eas eas
TGG_227 NA eas
TGG_228 eas eas
TGG_229 eas eas
TGG_23 nfe nfe
TGG_230 eas eas
TGG_231 NA eas
TGG_232 eas eas
TGG_233 eas eas
TGG_234 NA eas
TGG_235 eas eas
TGG_236 NA eas
TGG_237 NA amr
TGG_238 amr amr
TGG_239 NA amr
TGG_24 NA nfe
TGG_240 eas eas
TGG_241 eas eas
TGG_242 NA eas
TGG_243 eas eas
TGG_244 NA eas
TGG_245 eas eas
TGG_246 eas eas
TGG_247 NA eas
TGG_248 eas eas
TGG_249 eas eas
TGG_25 nfe nfe
TGG_250 eas eas
TGG_251 eas eas
TGG_252 eas eas
TGG_253 NA eas
TGG_254 NA eas
TGG_255 eas eas
TGG_256 eas eas
TGG_257 NA eas
TGG_258 eas eas
TGG_259 NA eas
TGG_26 NA nfe
TGG_260 NA eas
TGG_261 NA eas
TGG_262 eas eas
TGG_263 eas eas
TGG_264 eas eas
TGG_265 NA eas
TGG_266 amr amr
TGG_267 amr amr
